[run_pipeline] Skipping fetch; using C:\Users\86515\Documents\Codex\literature-survey-system\data\papers_raw.json
[generate_cards] Existing cards: 11; new papers to process: 89
[generate_cards] (1/89) 2604.13705v1 -> card
[generate_cards] (2/89) 2604.13666v1 -> card
[generate_cards] (3/89) 2604.13660v2 -> card
[generate_cards] (4/89) 2604.13579v1 -> card
[generate_cards] (5/89) 2604.13489v1 -> card
[generate_cards] (6/89) 2604.13417v1 -> card
[generate_cards] (7/89) 2604.13021v1 -> card
[generate_cards] (8/89) 2604.14227v1 -> card
[generate_cards] (9/89) 2604.12812v2 -> card
[generate_cards] (10/89) 2604.12766v1 -> card
[generate_cards] (11/89) 2604.12735v1 -> card
[generate_cards] (12/89) 2604.12610v1 -> card
[generate_cards] (13/89) 2604.14222v1 -> card
[generate_cards] (14/89) 2604.12201v1 -> card
[generate_cards] (15/89) 2604.12185v1 -> card
[generate_cards] (16/89) 2604.12138v1 -> card
[generate_cards] (17/89) 2604.12047v1 -> card
[generate_cards] (18/89) 2604.12034v1 -> card
[generate_cards] (19/89) 2604.11699v1 -> card
[generate_cards] (20/89) 2604.11419v1 -> card
[generate_cards] (21/89) 2604.11407v1 -> card
[generate_cards] (22/89) 2604.11243v2 -> card
[generate_cards] (23/89) 2604.11209v1 -> card
[generate_cards] (24/89) 2604.10874v1 -> card
[generate_cards] (25/89) 2604.10772v1 -> card
[generate_cards] (26/89) 2604.10745v1 -> card
[generate_cards] (27/89) 2604.10734v1 -> card
[generate_cards] (28/89) 2604.10717v1 -> card
[generate_cards] (29/89) 2604.10504v1 -> card
[generate_cards] (30/89) 2604.10426v1 -> card
[generate_cards] (31/89) 2604.10420v1 -> card
[generate_cards] (32/89) 2604.10389v1 -> card
[generate_cards] (33/89) 2604.10114v1 -> card
[generate_cards] (34/89) 2604.09952v1 -> card
[generate_cards] (35/89) 2604.09541v1 -> card
[generate_cards] (36/89) 2604.09515v1 -> card
[generate_cards] (37/89) 2604.09508v1 -> card
[generate_cards] (38/89) 2604.09493v1 -> card
[generate_cards] (39/89) 2604.09430v1 -> card
[generate_cards] (40/89) 2604.13101v1 -> card
[generate_cards] (41/89) 2604.09174v1 -> card
[generate_cards] (42/89) 2604.09747v1 -> card
[generate_cards] (43/89) 2604.14215v1 -> card
[generate_cards] (44/89) 2604.08952v2 -> card
[generate_cards] (45/89) 2604.08920v1 -> card
[generate_cards] (46/89) 2604.08304v1 -> card
[generate_cards] (47/89) 2604.08256v2 -> card
[generate_cards] (48/89) 2604.08082v1 -> card
[generate_cards] (49/89) 2604.08046v2 -> card
[generate_cards] (50/89) 2604.07985v2 -> card
[generate_cards] (51/89) 2604.07659v1 -> card
[generate_cards] (52/89) 2604.07645v1 -> card
[generate_cards] (53/89) 2604.07590v1 -> card
[generate_cards] (54/89) 2604.07285v1 -> card
[generate_cards] (55/89) 2604.07274v1 -> card
[generate_cards] (56/89) 2604.07146v2 -> card
[generate_cards] (57/89) 2604.07012v1 -> card
[generate_cards] (58/89) 2604.06997v1 -> card
[generate_cards] (59/89) 2604.07403v1 -> card
[generate_cards] (60/89) 2604.06737v2 -> card
[generate_cards] (61/89) 2604.06666v1 -> card
[generate_cards] (62/89) 2604.06647v2 -> card
[generate_cards] (63/89) 2604.06633v1 -> card
[generate_cards] (64/89) 2604.06616v1 -> card
[generate_cards] (65/89) 2604.06097v1 -> card
[generate_cards] (66/89) 2604.06008v1 -> card
[generate_cards] (67/89) 2604.05818v2 -> card
[generate_cards] (68/89) 2604.06279v1 -> card
[generate_cards] (69/89) 2604.05587v1 -> card
[generate_cards] (70/89) 2604.05540v1 -> card
[generate_cards] (71/89) 2604.05467v1 -> card
[generate_cards] (72/89) 2604.05458v1 -> card
[generate_cards] (73/89) 2604.06269v1 -> card
[generate_cards] (74/89) 2604.05418v3 -> card
[generate_cards] (75/89) 2604.05358v1 -> card
[generate_cards] (76/89) 2604.05350v2 -> card
[generate_cards] (77/89) 2604.06262v1 -> card
[generate_cards] (78/89) 2604.05268v2 -> card
[generate_cards] (79/89) 2604.05096v2 -> card
[generate_cards] (80/89) 2604.05051v1 -> card
[generate_cards] (81/89) 2604.04869v1 -> card
[generate_cards] (82/89) 2604.04853v1 -> card
[generate_cards] (83/89) 2604.04749v1 -> card
[generate_cards] (84/89) 2604.04670v1 -> card
[generate_cards] (85/89) 2604.04593v1 -> card
[generate_cards] (86/89) 2604.04565v1 -> card
[generate_cards] (87/89) 2604.04359v1 -> card
[generate_cards] (88/89) 2604.04103v1 -> card
[generate_cards] (89/89) 2604.04036v1 -> card
[generate_cards] Saved 100 cards to C:\Users\86515\Documents\Codex\literature-survey-system\data\paper_cards.jsonl
